,location_id,travel_time,speed,location_name,camera_id,speed_data_filename,timestamp,hour,is_daytime,weather_data_filename,weather_description
28,426,137,49.71,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),589,1447267660_speed_data.txt,1447267660,13,True,1447267660_weather_data.json,Clouds
29,427,940,8.7,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),594,1447267660_speed_data.txt,1447267660,13,True,1447267660_weather_data.json,Clouds
30,171,527,22.99,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,590,1447269464_speed_data.txt,1447269464,14,True,1447269464_weather_data.json,Clouds
31,422,303,29.2,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),593,1447269464_speed_data.txt,1447269464,14,True,1447269464_weather_data.json,Clouds
32,426,153,44.74,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),592,1447269464_speed_data.txt,1447269464,14,True,1447269464_weather_data.json,Clouds
33,426,153,44.74,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),589,1447269464_speed_data.txt,1447269464,14,True,1447269464_weather_data.json,Clouds
34,427,219,41.01,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),594,1447269464_speed_data.txt,1447269464,14,True,1447269464_weather_data.json,Clouds
35,171,1509,8.08,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,590,1447271264_speed_data.txt,1447271264,14,True,1447271264_weather_data.json,Clouds
36,422,294,29.83,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),593,1447271264_speed_data.txt,1447271264,14,True,1447271264_weather_data.json,Clouds
37,426,146,47.22,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),592,1447271264_speed_data.txt,1447271264,14,True,1447271264_weather_data.json,Clouds
38,426,146,47.22,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),589,1447271264_speed_data.txt,1447271264,14,True,1447271264_weather_data.json,Clouds
39,427,334,26.1,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),594,1447271264_speed_data.txt,1447271264,14,True,1447271264_weather_data.json,Clouds
40,171,1269,8.7,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,590,1447273064_speed_data.txt,1447273064,15,True,1447273064_weather_data.json,Clouds
41,422,328,26.72,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),593,1447273064_speed_data.txt,1447273064,15,True,1447273064_weather_data.json,Clouds
42,426,150,45.98,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),592,1447273064_speed_data.txt,1447273064,15,True,1447273064_weather_data.json,Clouds
43,426,150,45.98,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),589,1447273064_speed_data.txt,1447273064,15,True,1447273064_weather_data.json,Clouds
44,427,383,22.99,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),594,1447273064_speed_data.txt,1447273064,15,True,1447273064_weather_data.json,Clouds
45,171,949,11.81,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,590,1447274865_speed_data.txt,1447274865,15,True,1447274865_weather_data.json,Clouds
46,422,304,29.2,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),593,1447274865_speed_data.txt,1447274865,15,True,1447274865_weather_data.json,Clouds
